year,degree_type,degree_type_code,category_code,category_name,first_discipline_code,first_discipline_name,specialty_code,specialty_name,national_line_scope,catalog_source_url
2026,学术学位,xs,01,哲学,0101,哲学,010100,哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010101,马克思主义哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010102,中国哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010103,外国哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010104,逻辑学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010105,伦理学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010106,美学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010107,宗教学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,010108,科学技术哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,01,哲学,0101,哲学,0101J1,中国古典学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020100,理论经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020101,政治经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020102,经济思想史,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020103,经济史,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020104,西方经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020105,世界经济,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,020106,人口、资源与环境经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,0201J1,朝鲜韩国学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,0201J7,乡村振兴学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0201,理论经济学,0201Z1,法经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020200,应用经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020201,国民经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020202,区域经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020203,财政学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020204,金融学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020205,产业经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020206,国际贸易学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020207,劳动经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020208,统计学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0202,应用经济学,020209,数量经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0270,统计学,027000,统计学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,02,经济学,0270,统计学,0270Z1,经济统计学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030100,法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030101,法学理论,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030102,法律史,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030103,宪法学与行政法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030104,刑法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030105,民商法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030106,诉讼法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030107,经济法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030108,环境与资源保护法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0301,法学,030109,国际法学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030200,政治学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030201,政治学理论,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030202,中外政治制度,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030203,科学社会主义与国际共产主义运动,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030204,中共党史,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030206,国际政治,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030207,国际关系,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,030208,外交学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,0302J1,朝鲜韩国学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0302,政治学,0302J2,法律政治学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,030300,社会学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,030301,社会学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,030302,人口学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,030303,人类学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,030304,民俗学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,0303J6,乡村学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,0303Z1,边疆社会研究,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,0303Z1,非物质文化遗产,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,0303Z1,家政学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0303,社会学,0303Z1,社会经济学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,030400,民族学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,030402,马克思主义民族理论与政策,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,030406,中华民族学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,030407,人类学与世界民族,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,0304J1,中华民族共同体学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,0304J2,中华民族共同体学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,0304J7,中华民族共同体学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,0304J8,中华民族共同体学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0304,民族学,0304J9,中国边疆学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030500,马克思主义理论,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030501,马克思主义基本原理,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030502,马克思主义发展史,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030503,马克思主义中国化研究,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030504,国外马克思主义研究,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030505,思想政治教育,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,030506,中国近现代史基本问题研究,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,0305J1,中华民族共同体学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,0305J1,中华文化共同体研究,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0305,马克思主义理论,0305J2,经济哲学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,030600,公安学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,0306Z1,治安学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,0306Z2,侦查学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,0306Z3,犯罪学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,0306Z4,公安管理学,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0306,公安学,0306Z6,公安党建与思政,各学科专业,https://yz.chsi.com.cn/zsml/
2026,学术学位,xs,03,法学,0307,中共党史党建学,030700,中共党史党建学,各学科专业,https://yz.chsi.com.cn/zsml/
